Library Code,AREA,Subject ,Title,Author,Publication
HCI-MSD-001,Human Computer Interface, Multimedia System Design,MULTIMEDIA IN ACTION,JAMES E. SHUMAN,
HCI-MSD-002,,,"MULTIMEDIA: COMPUTING, COMMUNICATIONS & APPLICATIONS","STEINMETZ, NAHRSTEDT",PEARSON
IM-DBM-001,Information Management, Database Management ,DATABASE MANAGEMENT SYSTEMS,RAJESH NARANG,PHI
IM-DBM-002,,,Database System,Nilkamal Surve,MU
HD-COA-001,Hardware & Device,COA,COMPUTER ORGANIZATION AND ARCHITECTURE,M. U. NEMADE,VIPUL
HD-COA-002,,,COMPUTER ORGANIZATION ,ISRD GROUP,ACE
HD-COA-003,,,STRUCTURERD COMPUTER ORGANIZATION,ANDREWS. TANENBAUM,PHI
HD-COA-004,,,COMPUTER ORGANIZATION AND ARCHITECTURE,P. R. DEVALE,TECHMAX
HD-COA-005,,,COMPUTER ORGANIZATION AND ARCHITECTURE,A. P. GODSE,TECHNICAL 
SE-TCS-001,System Engineering,Theory of Computer Science,THEORY OF COMPUTER SCIENCE,VIVEK KULKARNI,TECHMAX
SE-TCS-002,,,INTRODUCTION TO LANGUAGE AND THEORY OF COMPUTATION,MARTIN,TATA MCGRAW HILL
SE-TCS-003,,,FORMAL LANGUAGE AND AUTOMETA THEORY,NAGPAL,OXFORD
SE-TCS-004,,,THEORY OF COMPUTATION,DR. O. G. Kakde,Lakshmi Publication
WST-ECOM-001,Web Systems & Technologies, ECommerce,E-COMMERCE AND MOBILE COMMERCE TECH.,"DR. U . S . PANDEY  ,SAURABH SHUKLA",S. CHAND
WST-ECOM-002,,,E-COMMERCE new vista for business,T. N. CHANDRA R. K. SURI,DHANPAT RAI
WST-WE-001,Web Systems & Technologies,Web Engineering,Web Design Technology,D. P. NAGPAL,S. CHAND
WST-WE-002,,,Web Technology,B. N. Jagdale,TECHMAX
WST-WE-003,,,MULTIMEDIA AND WEB TECHNOLOGY,RAMESH BANGIA,FIREWALL MEDIA
WST-WE-004,,,WEB ENGINEERING A PRACTITIONER'S APPROCH,"PRESSMAN, LOWE",TATA MCGRAW HILL
WST-WE-005,,,Web Technologies,UTTAM K. ROY,OXFORD
IS-AI-001,Intelligent Systems,Artificial Intelligence,INTRO. TO ARTIFICIAL INTELLIGENCE AND EXPER.SY.,DAN W PATTERSON,PEARSON
IS-AI-002,,,INTRO. TO ARTIFICIAL INTELLIGENCE AND EXPER.SY.,DAN W PATTERSON,PEARSON
IS-AI-003,,,Artificial Intelligence,"RICH, KNIGHT, NAIR",TATA MCGRAW HILL
IS-AI-004,,,Artificial Intelligence A NEW SYNTHESIS,NILSSON,ELSEVIER
IS-AI-005,,,Artificial Intelligence,"RICH, KNIGHT, NAIR",TATA MCGRAW HILL
AL-AAD-001,Algorithm,Analysis of Algorithm and Design,ALGORITHMS,"BERMAN , PAUL",IE-CENGAGE
AL-AAD-002,,,ALGORITHMS DESIGN AND ANALYSIS,UDIT AGARWAL,DHANPAT RAI
AL-AAD-003,,,ALGORITHM DESIGN,JON KIEINBERG,PEARSON
MFA-DSGT-001,Mathematical Foundations & Applications,Discrete Structures,GRAPH THEORY,K. PATRAI,KATSON
MFA-DSGT-002,,,GRAPH THEORY,NARSINGH DEO,PHI
MFA-DSGT-003,,,DISCRETE STRUCTURE AND GRAPH THEORY,C. V. KUMBHOJKAR,C. JAMNADAS
MFA-DSGT-004,,,A Textbook of Discrete Mathematics,Dr. Swapan Kumar Sarkar,S. Chand
ITR-OOSE-001,IT Resource Planning & System Design , Object Oriented Software Engineering ,OBJECT ORIENTED MODELING AND DESIGN,"JAYA G. MUTHREJA, PALLAVI KULKARNI",NANDU
ITR-OOSE-002,,,OBJECT ORIENTED MODELING AND DESIGN,JAYSHREE PANSARE,TECHMAX
ITR-OOSE-003,,,SOFTWARE ENGINEERING 8TH EDITION,SOMMERVILLE,PEARSON
ITR-OOSE-004,,,SOFTWARE ENGINEERING 7TH EDITION,SOMMERVILLE,PEARSON
ITR-OOSE-005,,,SOFTWARE ENGINEERING,SAJAN MATHEW,S. CHAND
ITR-OOSE-006,,,FANDAMENTALS OF SOFTWARE ENGINEERING,CARLO GHEZZI,PHI
ITR-OOSE-007,,,SOFTWARE ENGINEERING,"P. GADA, A. SAKAR",PAREEN
ITR-OOSE-008,,,SOFTWARE ENGINEERING,SAJAN MATHEW,S. CHAND
ITR-OOSE-009,,,OBJECT ORIENTED SOFTWARE ENGINEERING,"BERND B,ALLEN D",PEARSON
ITR-OOSE-010,,,SOFTWARE ENGINEERING FOR STUDENTS,BELL,PEARSON
ITR-OOSE-011,,,SOFTWARE ENGINEERING,PRESSMAN,MCGRAWHILL
